Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C12, C14, C16, C17, C18, C19, C20, C21, C22, C4, C50",0603,13,100n,C14663
"C10, C8, C9",0805,3,1u,C5370002
"C13, C15",0201,2,33p,C1663
C2,1210,1,10u,C5156756
"C23, C24, C25, C35, C49",0603,5,2u2,C23630
"C26, C27, C29, C38, C5",0805,5,100n,C28233
"C28, C33, C43, C47",1210,4,4.7u,C381466
C3,0603,1,220p,C1603
"C30, C44, C45, C46",0603,4,1u,C15849
"C36, C39, C40, C41, C42",0805,5,10u,C15850
"C37, C48",0603,2,2n2,C1604
C6,0805,1,47n,C53134
C7,0805,1,1u,C28323
D4,SOT-23,1,"PESD1CAN,215",C15771
"D5, D6, D7, D8",0805,4,LED_Status,C84256
FB1,0805,1,60,C845118
FB2,0603,1,120,C14709
J5,SolderWire-4sqmm_1x02_P12mm_D3mm_OD6mm,1,Conn_01x02_Socket,
J6,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0_16P,C2988369
L1,L_Sunlord_SWPA8040S,1,39u,C42380259
"Q1, Q2, Q3, Q4, Q5, Q6",TDSON-8-1,6,BSC060N10NS3G,C501504
R1,0603,1,4k7,C23162
R10,0805,1,200k,C17539
R11,0603,1,30k,C22984
R12,0805,1,100k,C149504
R13,0805,1,3k3,C26010
R15,0603,1,47k,C25819
R16,0805,1,150,C17471
R17,0603,1,330,C23138
"R18, R19",0603,2,5k1,C23189
"R2, R32",0805,2,10k,C17414
R20,0603,1,120,C22787
R21,0603,1,68k,C23231
"R22, R23, R24, R25, R26, R27",0603,6,2,C22977
"R28, R29",0603,2,100k,C25803
"R30, R31",0603,2,220,C22962
R34,0603,1,150k,C22807
"R6, R7",0805,2,120,LCSC Part #
R8,0805,1,120,C17437
R9,0805,1,1M,C17514
U1,DRV8353SRTAT,1,DRV8353SRTAT,C2150480
U2,LQFP-100_14x14mm_P0.5mm,1,ST STM32H563VIT6,C6937834
U3,SOIC-16_3.9x9.9mm_P1.27mm,1,AM26LV32xD,C527448
U4,SOT-23-5,1,TLV75533PDBVR,C404027
U5,HSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.1mm_ThermalVias,1,TI LM5164DDAR,C477928
U6,SOT-23-6,1,USBLC6-2SC6,C7519
U7,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD230DR,C12084
Y1,Crystal_SMD_5032-2Pin_5.0x3.2mm_HandSoldering,1,Crystal,C115962
