Designator,Mid X,Mid Y,Rotation,Layer
C1,149.1012,-83.082,90.0,top
C10,164.3666,-117.88,90.0,top
C11,147.4248,-83.082,90.0,top
C12,173.8662,-62.0,90.0,top
C13,147.6026,-76.4526,90.0,top
C14,154.2574,-88.8224,180.0,top
C15,147.5518,-79.8308,270.0,top
C16,170.0562,-73.3284,90.0,top
C17,168.1766,-70.8392,0.0,top
C18,182.299,-79.018,270.0,top
C19,149.8378,-73.6332,90.0,top
C2,142.2178,-98.5252,90.0,top
C20,181.6386,-82.8788,90.0,top
C21,151.2094,-70.7376,180.0,top
C22,160.963,-103.402,0.0,top
C23,145.0372,-85.4696,180.0,top
C24,151.1586,-68.9596,180.0,top
C25,165.7382,-89.178,0.0,top
C26,185.601,-102.2844,0.0,top
C27,174.933,-95.1724,270.0,top
C28,114.7868,-84.2419,90.0,top
C29,117.8348,-84.9023,270.0,top
C3,130.5348,-91.5063,180.0,top
C30,129.3146,-70.3171,270.0,top
C33,118.0878,-97.4076,180.0,top
C34,158.3182,-61.1632,90.0,top
C35,138.2116,-70.9218,270.0,top
C36,138.4078,-82.0336,180.0,top
C37,127.8408,-85.846,90.0,top
C38,136.1726,-94.1857,270.0,top
C39,119.053,-78.3576,270.0,top
C4,145.0372,-83.844,180.0,top
C40,116.9702,-78.3576,270.0,top
C41,114.735,-78.3068,270.0,top
C42,109.147,-78.3068,270.0,top
C43,111.2816,-84.2419,90.0,top
C44,168.1766,-69.112,0.0,top
C45,153.4446,-96.8996,90.0,top
C46,151.819,-96.8996,90.0,top
C47,107.8272,-84.2419,90.0,top
C48,130.6364,-77.9297,90.0,top
C49,154.5114,-68.4516,90.0,top
C5,147.8566,-99.5412,270.0,top
C50,149.6346,-76.986,90.0,top
C6,149.9394,-99.5412,270.0,top
C7,145.1134,-100.8112,90.0,top
C8,130.229,-117.8292,90.0,top
C9,147.247,-117.88,90.0,top
D4,186.7186,-62.1524,180.0,top
D5,148.3637,-58.0644,0.0,top
D6,148.3637,-61.1632,0.0,top
D7,130.229,-61.2888,270.0,top
D8,133.2262,-61.3396,270.0,top
FB1,139.4238,-78.7316,270.0,top
FB2,111.9918,-77.24,180.0,top
H1,191.189,-50.697,0.0,top
H2,103.8638,-50.697,0.0,top
H3,103.8638,-139.3684,0.0,top
H4,191.189,-139.3684,0.0,top
J6,191.1858,-75.438,90.0,top
L1,125.3522,-79.526,90.0,top
Q1,133.0756,-124.8948,0.0,top
Q2,141.8622,-124.8948,180.0,top
Q3,150.1172,-124.886,0.0,top
Q4,158.9056,-124.8948,180.0,top
Q5,167.2368,-124.8352,0.0,top
Q6,176.0252,-124.844,180.0,top
R1,166.805,-95.9344,270.0,top
R10,116.7172,-91.4555,270.0,top
R11,118.9524,-91.4555,270.0,top
R12,136.1726,-98.1989,90.0,top
R13,138.7126,-96.1161,90.0,top
R15,127.7408,-90.2363,270.0,top
R16,133.2262,-65.302,90.0,top
R17,130.1782,-65.2004,90.0,top
R18,184.1786,-79.0688,270.0,top
R19,184.6358,-72.16,90.0,top
R2,169.6498,-87.0444,90.0,top
R20,183.5182,-62.1524,270.0,top
R21,185.2454,-82.8788,270.0,top
R22,136.5282,-129.7926,180.0,top
R23,139.6778,-119.3532,270.0,top
R24,153.597,-130.0212,0.0,top
R25,156.645,-119.3024,90.0,top
R26,170.7674,-129.818,0.0,top
R27,173.8662,-119.4548,90.0,top
R28,183.4674,-82.8788,90.0,top
R29,130.6364,-81.7649,90.0,top
R30,152.0213,-58.0644,180.0,top
R31,151.8689,-61.0616,180.0,top
R32,164.8746,-95.6804,270.0,top
R33,156.5688,-67.4102,270.0,top
R34,130.4522,-89.5198,180.0,top
R35,148.2884,-66.2164,90.0,top
R6,174.7806,-87.7556,270.0,top
R7,185.9058,-91.6164,270.0,top
R8,186.3122,-95.782,90.0,top
R9,116.8188,-88.1027,0.0,top
U1,155.1186,-102.6884,0.0,top
U3,180.6084,-91.9466,90.0,top
U4,134.6486,-71.0791,180.0,top
U5,123.0828,-87.1104,0.0,top
U6,182.299,-75.4987,180.0,top
U7,178.6922,-62.1016,270.0,top
U8,159.494,-79.2052,270.0,top
Y1,144.3514,-77.7734,90.0,top
